14,20,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,
--,--,--,--,--,--,--,--,--,Wa,Ch,--,--,--,--,--,Wa,K1,--,--
--,Wa,Wa,Wa,Wa,--,--,Wa,--,Wa,Wa,Wa,Wa,Wa,Wa,--,Wa,Wa,Wa,--
--,Wa,Wa,Wa,Wa,--,--,Wa,--,Wa,Wa,Wa,Wa,Wa,Wa,--,Wa,--,--,--
--,--,--,--,--,--,--,Wa,--,Wa,Bf,--,--,Wa,--,--,--,--,Wa,Wa
Wa,Wa,Wa,Wa,Wa,--,--,Wa,--,Wa,--,--,--,--,--,--,--,Wa,Wa,Wa
--,--,--,--,--,--,--,Wa,--,Wa,--,--,Wa,--,Wa,Wa,--,--,--,--
--,--,--,--,M0,--,Bf,Wa,--,Wa,--,--,Wa,--,Wa,Wa,--,Bf,--,--
--,--,Wa,Wa,Wa,Wa,Wa,Wa,--,G0,--,--,Wa,--,--,--,--,--,--,--
--,--,Wa,Wa,Wa,W,Wa,Wa,--,Wa,--,--,Wa,Wa,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,Wa,--,Wa,Wa,Wa,--,--,--,--,--,--
Wa,Wa,Wa,Wa,Wa,--,--,--,--,Wa,--,--,Wa,Wa,--,--,Wa,Wa,Wa,Wa
Wa,Wa,Wa,Wa,Wa,--,--,--,--,Wa,--,--,--,--,--,--,Wa,--,--,Ex
K0,--,--,--,--,--,--,--,Wa,Wa,--,--,--,--,--,--,G1,--,--,--
--,--,Wa,Wa,Wa,--,--,--,Wa,Wa,--,--,--,Wa,--,--,Wa,--,--,--
