14,22,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Wa,Wa,Wa,Wa
Wa,Wa,Wa,Wa,--,Wa,Wa,Wa,Wa,--,Wa,Wa,Wa,Wa,Wa,Wa,Wa,--,Wa,Wa,Wa,Wa
--,--,--,--,--,Wa,Wa,Wa,--,--,--,--,Wa,Wa,Wa,Wa,Wa,--,Wa,Wa,M0,--
--,--,--,--,--,Wa,M1,--,--,--,--,--,Wa,--,Wa,Wa,Wa,--,--,Wa,--,--
--,--,--,--,--,Wa,Wa,Wa,--,--,--,--,--,--,--,Wa,Wa,--,--,Wa,--,--
Wa,Wa,Wa,Wa,--,--,--,--,--,--,--,--,--,--,--,Wa,Wa,--,--,Wa,Wa,--
Wa,K0,--,Wa,Wa,--,--,--,--,--,--,--,--,Wa,Wa,Wa,Wa,Wa,--,Wa,Wa,--
Wa,--,--,Wa,Wa,--,--,--,--,--,--,--,--,Wa,--,--,Wa,Wa,--,Wa,Wa,--
Wa,--,--,Wa,--,--,--,--,--,--,--,--,--,Wa,--,Ex,Wa,Wa,--,Wa,Wa,--
Wa,Wa,--,--,--,--,--,--,--,--,--,--,--,Wa,--,--,Wa,--,--,--,--,--
Wa,Wa,--,--,--,--,--,--,--,--,--,--,--,G0,--,--,Wa,--,Wa,Wa,Wa,Wa
Wa,Wa,--,--,--,--,--,--,--,--,--,--,--,Wa,Wa,Wa,Wa,--,Wa,--,--,--
Wa,Wa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
